date,sex,vaccination_status,entries,sumTotal,pop,inz_entries,inzsumTotal,geoRegion,type,type_variant,vaccine,data_completeness,version,timeframe_all
202108,unknown,partially_vaccinated,0,0,50,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-16_07-53-19,TRUE
202108,unknown,not_vaccinated,0,0,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-16_07-53-19,TRUE
202108,unknown,unknown,0,0,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-16_07-53-19,TRUE
202109,female,fully_vaccinated,0,3,192332,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-16_07-53-19,TRUE
202109,female,partially_vaccinated,2,26,163938,1.22,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-16_07-53-19,TRUE
202109,female,not_vaccinated,15,106,4031118,0.37,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-16_07-53-19,TRUE
202109,female,unknown,14,192,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-16_07-53-19,TRUE
202109,male,fully_vaccinated,0,1,147757,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-16_07-53-19,TRUE
202109,male,partially_vaccinated,1,19,123822,0.81,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-16_07-53-19,TRUE
202109,male,not_vaccinated,11,135,4050388,0.27,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-16_07-53-19,TRUE
202109,male,unknown,22,196,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-16_07-53-19,TRUE
202109,unknown,fully_vaccinated,0,0,36,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-16_07-53-19,TRUE
202109,unknown,partially_vaccinated,0,0,45,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-16_07-53-19,TRUE
202109,unknown,not_vaccinated,0,0,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-16_07-53-19,TRUE
