date,vaccine,vaccination_status,entries,sumTotal,pop,inz_entries,inzsumTotal,mean7d,inzmean7d,prct,prctSumTotal,prct_mean7d,geoRegion,type,type_variant,data_completeness,version
2021-04-03,moderna,fully_vaccinated,0,0,307684,0,NA,0,0,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-12-16_07-53-19
2021-04-04,moderna,fully_vaccinated,0,0,307699,0,NA,0,0,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-12-16_07-53-19
2021-04-05,moderna,fully_vaccinated,0,0,308004,0,NA,0,0,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-12-16_07-53-19
2021-04-06,moderna,fully_vaccinated,0,0,314935,0,NA,0,0,NA,0,NA,CHFL,COVID19Death,vaccine,limited,2021-12-16_07-53-19
2021-04-07,moderna,fully_vaccinated,0,0,321428,0,NA,0,0,NA,0,NA,CHFL,COVID19Death,vaccine,limited,2021-12-16_07-53-19
2021-04-08,moderna,fully_vaccinated,0,0,329079,0,NA,0,0,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-12-16_07-53-19
2021-04-09,moderna,fully_vaccinated,0,0,335987,0,NA,0,0,NA,0,NA,CHFL,COVID19Death,vaccine,limited,2021-12-16_07-53-19
2021-04-10,moderna,fully_vaccinated,0,0,338298,0,NA,0,0,NA,0,NA,CHFL,COVID19Death,vaccine,limited,2021-12-16_07-53-19
2021-04-11,moderna,fully_vaccinated,0,0,338495,0,NA,0,0,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-12-16_07-53-19
2021-04-12,moderna,fully_vaccinated,0,0,342575,0,NA,0,0,NA,0,NA,CHFL,COVID19Death,vaccine,limited,2021-12-16_07-53-19
2021-04-13,moderna,fully_vaccinated,0,0,347912,0,NA,0,0,NA,0,NA,CHFL,COVID19Death,vaccine,limited,2021-12-16_07-53-19
2021-04-14,moderna,fully_vaccinated,0,0,353163,0,NA,0,0,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-12-16_07-53-19
2021-04-15,moderna,fully_vaccinated,0,0,359179,0,NA,0,0,NA,0,NA,CHFL,COVID19Death,vaccine,limited,2021-12-16_07-53-19
2021-04-16,moderna,fully_vaccinated,0,0,364880,0,NA,0,0,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-12-16_07-53-19
2021-04-17,moderna,fully_vaccinated,0,0,366906,0,NA,0,0,NA,0,NA,CHFL,COVID19Death,vaccine,limited,2021-12-16_07-53-19
