geoRegion,datum,entries,entries_pos,entries_neg,sumTotal,freq,prct,anteil_pos,anteil_pos_diff,anteil_pos_all,pop,inz_entries,inzsumTotal,entries_diff_abs,entries_diff_inz,prct_diff,entries_diff_pct,type,version,datum_unit,datum_dboardformated,timeframe_all,timeframe_phase2,timeframe_phase2b,timeframe_phase3,timeframe_phase4,timeframe_phase5,timeframe_28d,timeframe_14d,nachweismethode,type_variant
FL,202117,102,2,100,1577,1,100,2,2,3.2,39055,261.17,4037.9,31,79.38,0,43.7,COVID19Test,2021-12-16_07-53-19,isoweek,2021-17,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,Antigen_Schnelltest,
FR,202117,1402,103,1299,43511,1,100,7.3,-1.2000000000000002,10.9,325496,430.73,13367.6,26,7.99,0,1.9,COVID19Test,2021-12-16_07-53-19,isoweek,2021-17,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,Antigen_Schnelltest,
GE,202117,3032,168,2864,70447,1,100,5.5,-2.4000000000000004,9.4,506343,598.8,13912.9,136,26.86,0,4.7,COVID19Test,2021-12-16_07-53-19,isoweek,2021-17,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,Antigen_Schnelltest,
GL,202117,278,14,264,4434,1,100,5,0.9000000000000004,6.7,40851,680.52,10854.08,57,139.53,0,25.8,COVID19Test,2021-12-16_07-53-19,isoweek,2021-17,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,Antigen_Schnelltest,
GR,202117,1152,51,1101,55497,1,100,4.4,-0.8999999999999995,5.5,200096,575.72,27735.19,69,34.48,0,6.4,COVID19Test,2021-12-16_07-53-19,isoweek,2021-17,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,Antigen_Schnelltest,
JU,202117,417,29,388,9545,1,100,7,-2.3000000000000007,11.6,73709,565.74,12949.57,19,25.78,0,4.8,COVID19Test,2021-12-16_07-53-19,isoweek,2021-17,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,Antigen_Schnelltest,
LU,202117,1516,95,1421,42295,1,100,6.3,-2.3,8,416347,364.12,10158.59,315,75.66,0,26.2,COVID19Test,2021-12-16_07-53-19,isoweek,2021-17,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,Antigen_Schnelltest,
NE,202117,1315,60,1255,27090,1,100,4.6,-0.5,7.9,175894,747.61,15401.32,-188,-106.88,0,-12.5,COVID19Test,2021-12-16_07-53-19,isoweek,2021-17,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,Antigen_Schnelltest,
NW,202117,73,6,67,4518,1,100,8.2,-2.200000000000001,8.7,43520,167.74,10381.43,6,13.79,0,9,COVID19Test,2021-12-16_07-53-19,isoweek,2021-17,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,Antigen_Schnelltest,
OW,202117,194,8,186,4834,1,100,4.1,-3.8000000000000007,7.6,38108,509.08,12685,-60,-157.45,0,-23.6,COVID19Test,2021-12-16_07-53-19,isoweek,2021-17,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,Antigen_Schnelltest,
SG,202117,2079,102,1977,66892,1,100,4.9,-2.1999999999999993,11.7,514504,404.08,13001.26,-152,-29.54,0,-6.8,COVID19Test,2021-12-16_07-53-19,isoweek,2021-17,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,Antigen_Schnelltest,
SH,202117,545,15,530,13008,1,100,2.8,-0.8000000000000003,6.1,83107,655.78,15652.11,43,51.74,0,8.6,COVID19Test,2021-12-16_07-53-19,isoweek,2021-17,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,Antigen_Schnelltest,
SO,202117,1543,60,1483,34343,1,100,3.9,-1.0000000000000004,5.8,277462,556.11,12377.55,4,1.44,0,0.3,COVID19Test,2021-12-16_07-53-19,isoweek,2021-17,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,Antigen_Schnelltest,
SZ,202117,759,37,722,18265,1,100,4.9,-3.1999999999999993,10.5,162157,468.06,11263.78,16,9.86,0,2.2,COVID19Test,2021-12-16_07-53-19,isoweek,2021-17,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,Antigen_Schnelltest,
TG,202117,1560,59,1501,43053,1,100,3.8,0.09999999999999964,7.1,282909,551.41,15217.97,140,49.48,0,9.9,COVID19Test,2021-12-16_07-53-19,isoweek,2021-17,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,Antigen_Schnelltest,
TI,202117,3009,67,2942,43866,1,100,2.2,-1.5,5.8,350986,857.3,12497.93,711,202.57,0,30.9,COVID19Test,2021-12-16_07-53-19,isoweek,2021-17,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,Antigen_Schnelltest,
UR,202117,386,18,368,3445,1,100,4.7,-2.5,4.8,36819,1048.37,9356.58,-3,-8.15,0,-0.8,COVID19Test,2021-12-16_07-53-19,isoweek,2021-17,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,Antigen_Schnelltest,
VD,202117,6679,420,6259,165087,1,100,6.3,-1.5,9.6,814762,819.75,20261.99,-440,-54,0,-6.2,COVID19Test,2021-12-16_07-53-19,isoweek,2021-17,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,Antigen_Schnelltest,
VS,202117,2367,100,2267,58637,1,100,4.2,-1,9.3,348503,679.19,16825.39,-232,-66.57,0,-8.9,COVID19Test,2021-12-16_07-53-19,isoweek,2021-17,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,Antigen_Schnelltest,
ZG,202117,1133,53,1080,22983,1,100,4.7,1.7000000000000002,6.5,128794,879.7,17844.78,-38,-29.5,0,-3.2,COVID19Test,2021-12-16_07-53-19,isoweek,2021-17,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,Antigen_Schnelltest,
