sex,nachweismethode,geoRegion,datum,entries,entries_pos,entries_neg,sumTotal,anteil_pos,anteil_pos_diff,anteil_pos_all,freq,prct,pop,inz_entries,inzsumTotal,type,type_variant,version,datum_unit,datum_dboardformated,entries_diff_abs,entries_diff_inz,entries_diff_pct,prct_diff,timeframe_all,timeframe_phase2,timeframe_phase2b,timeframe_phase3,timeframe_phase4,timeframe_phase5,timeframe_28d,timeframe_14d
unknown,all,TG,202148,134,95,39,219,70.9,70.9,46.6,0.011,1.0999999999999999,NA,NA,NA,COVID19Test,sex,2021-12-06_07-48-24,isoweek,2021-48,128,NA,2133.3,0.9999999999999999,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
unknown,all,TI,202148,3,0,3,299,0,0,0.7,0,0,NA,NA,NA,COVID19Test,sex,2021-12-06_07-48-24,isoweek,2021-48,2,NA,200,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
unknown,all,UR,202148,0,0,NA,6,NA,NA,16.7,0,0,NA,NA,NA,COVID19Test,sex,2021-12-06_07-48-24,isoweek,2021-48,0,NA,NA,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
unknown,all,VD,202148,15,1,14,1491,6.7,-9.100000000000001,4,0,0,NA,NA,NA,COVID19Test,sex,2021-12-06_07-48-24,isoweek,2021-48,-4,NA,-21.1,-0.1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
unknown,all,VS,202148,5,0,5,494,0,0,1.4,0,0,NA,NA,NA,COVID19Test,sex,2021-12-06_07-48-24,isoweek,2021-48,2,NA,66.7,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
unknown,all,ZG,202148,1,0,1,52,0,0,0,0,0,NA,NA,NA,COVID19Test,sex,2021-12-06_07-48-24,isoweek,2021-48,-4,NA,-80,-0.1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
unknown,all,ZH,202148,1522,9,1513,5176,0.6,-0.6,1.3,0.024,2.4,NA,NA,NA,COVID19Test,sex,2021-12-06_07-48-24,isoweek,2021-48,505,NA,49.7,0.5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
male,all,CH01,202009,NA,NA,NA,NA,NA,NA,NA,NA,NA,818492,NA,NA,COVID19Test,sex,2021-12-06_07-48-24,isoweek,2020-09,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
male,all,CH02,202009,NA,NA,NA,NA,NA,NA,NA,NA,NA,936569,NA,NA,COVID19Test,sex,2021-12-06_07-48-24,isoweek,2020-09,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
male,all,CH03,202009,NA,NA,NA,NA,NA,NA,NA,NA,NA,587202,NA,NA,COVID19Test,sex,2021-12-06_07-48-24,isoweek,2020-09,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
male,all,CH04,202009,NA,NA,NA,NA,NA,NA,NA,NA,NA,774299,NA,NA,COVID19Test,sex,2021-12-06_07-48-24,isoweek,2020-09,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
male,all,CH05,202009,NA,NA,NA,NA,NA,NA,NA,NA,NA,598955,NA,NA,COVID19Test,sex,2021-12-06_07-48-24,isoweek,2020-09,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
male,all,CH06,202009,NA,NA,NA,NA,NA,NA,NA,NA,NA,416252,NA,NA,COVID19Test,sex,2021-12-06_07-48-24,isoweek,2020-09,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
male,all,CH07,202009,NA,NA,NA,NA,NA,NA,NA,NA,NA,170830,NA,NA,COVID19Test,sex,2021-12-06_07-48-24,isoweek,2020-09,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
