date,sex,vaccination_status,entries,sumTotal,pop,inz_entries,inzsumTotal,geoRegion,type,type_variant,vaccine,data_completeness,version,timeframe_all
202108,male,not_vaccinated,55,279,4083492,1.35,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-12-16_07-53-19,TRUE
202108,male,unknown,90,600,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-12-16_07-53-19,TRUE
202108,unknown,fully_vaccinated,0,0,25,0,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-12-16_07-53-19,TRUE
202108,unknown,partially_vaccinated,0,0,50,0,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-12-16_07-53-19,TRUE
202108,unknown,not_vaccinated,0,0,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-12-16_07-53-19,TRUE
202108,unknown,unknown,0,1,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-12-16_07-53-19,TRUE
202109,female,fully_vaccinated,1,9,192332,0.52,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-12-16_07-53-19,TRUE
202109,female,partially_vaccinated,3,19,163938,1.83,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-12-16_07-53-19,TRUE
202109,female,not_vaccinated,65,279,4031118,1.61,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-12-16_07-53-19,TRUE
202109,female,unknown,75,601,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-12-16_07-53-19,TRUE
202109,male,fully_vaccinated,5,12,147757,3.38,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-12-16_07-53-19,TRUE
202109,male,partially_vaccinated,4,17,123822,3.23,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-12-16_07-53-19,TRUE
202109,male,not_vaccinated,78,357,4050388,1.93,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-12-16_07-53-19,TRUE
202109,male,unknown,111,711,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-12-16_07-53-19,TRUE
202109,unknown,fully_vaccinated,0,0,36,0,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-12-16_07-53-19,TRUE
202109,unknown,partially_vaccinated,0,0,45,0,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-12-16_07-53-19,TRUE
202109,unknown,not_vaccinated,0,0,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-12-16_07-53-19,TRUE
202109,unknown,unknown,0,1,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-12-16_07-53-19,TRUE
