date,geoRegion,indication,entries,type_variant,pop,sumTotal,prctPopSumTotal,freq,prct,prctSumTotal,per100Persons,per100PersonsTotal,type,version,granularity
202103,AG,med_prof,144,indication,694072,155,0,0.873,87.3,83.3,0.02,0.02,COVID19FullyVaccPersons,2021-12-16_07-53-19,detailed
202104,AG,med_prof,160,indication,694072,315,0,0.166,16.6,27.400000000000002,0.02,0.05,COVID19FullyVaccPersons,2021-12-16_07-53-19,detailed
202105,AG,med_prof,336,indication,694072,651,0.1,0.13,13,17.4,0.05,0.09,COVID19FullyVaccPersons,2021-12-16_07-53-19,detailed
202106,AG,med_prof,381,indication,694072,1032,0.1,0.149,14.899999999999999,16.400000000000002,0.05,0.15,COVID19FullyVaccPersons,2021-12-16_07-53-19,detailed
202107,AG,med_prof,423,indication,694072,1455,0.2,0.08,8,12.6,0.06,0.21,COVID19FullyVaccPersons,2021-12-16_07-53-19,detailed
202108,AG,med_prof,841,indication,694072,2296,0.3,0.129,12.9,12.7,0.12,0.33,COVID19FullyVaccPersons,2021-12-16_07-53-19,detailed
202109,AG,med_prof,783,indication,694072,3079,0.4,0.131,13.100000000000001,12.8,0.11,0.44,COVID19FullyVaccPersons,2021-12-16_07-53-19,detailed
202110,AG,med_prof,1156,indication,694072,4235,0.6,0.246,24.6,14.7,0.17,0.61,COVID19FullyVaccPersons,2021-12-16_07-53-19,detailed
202111,AG,med_prof,984,indication,694072,5219,0.8,0.19,19,15.4,0.14,0.75,COVID19FullyVaccPersons,2021-12-16_07-53-19,detailed
202112,AG,med_prof,802,indication,694072,6021,0.9,0.095,9.5,14.2,0.12,0.87,COVID19FullyVaccPersons,2021-12-16_07-53-19,detailed
202113,AG,med_prof,463,indication,694072,6484,0.9,0.073,7.3,13.3,0.07,0.93,COVID19FullyVaccPersons,2021-12-16_07-53-19,detailed
202114,AG,med_prof,741,indication,694072,7225,1,0.083,8.3,12.5,0.11,1.04,COVID19FullyVaccPersons,2021-12-16_07-53-19,detailed
202115,AG,med_prof,529,indication,694072,7754,1.1,0.082,8.200000000000001,12.1,0.08,1.12,COVID19FullyVaccPersons,2021-12-16_07-53-19,detailed
202116,AG,med_prof,739,indication,694072,8493,1.2,0.089,8.9,11.700000000000001,0.11,1.22,COVID19FullyVaccPersons,2021-12-16_07-53-19,detailed
202117,AG,med_prof,610,indication,694072,9103,1.3,0.062,6.2,11.1,0.09,1.31,COVID19FullyVaccPersons,2021-12-16_07-53-19,detailed
202118,AG,med_prof,846,indication,694072,9949,1.4,0.07,7.000000000000001,10.6,0.12,1.43,COVID19FullyVaccPersons,2021-12-16_07-53-19,detailed
202119,AG,med_prof,3358,indication,694072,13307,1.9,0.233,23.3,12.2,0.48,1.92,COVID19FullyVaccPersons,2021-12-16_07-53-19,detailed
202120,AG,med_prof,3441,indication,694072,16748,2.4,0.16,16,12.9,0.5,2.41,COVID19FullyVaccPersons,2021-12-16_07-53-19,detailed
202121,AG,med_prof,1672,indication,694072,18420,2.7,0.096,9.6,12.5,0.24,2.65,COVID19FullyVaccPersons,2021-12-16_07-53-19,detailed
202122,AG,med_prof,1779,indication,694072,20199,2.9,0.068,6.800000000000001,11.600000000000001,0.26,2.91,COVID19FullyVaccPersons,2021-12-16_07-53-19,detailed
202123,AG,med_prof,1302,indication,694072,21501,3.1,0.067,6.7,11.1,0.19,3.1,COVID19FullyVaccPersons,2021-12-16_07-53-19,detailed
202124,AG,med_prof,1134,indication,694072,22635,3.3,0.063,6.3,10.7,0.16,3.26,COVID19FullyVaccPersons,2021-12-16_07-53-19,detailed
202125,AG,med_prof,914,indication,694072,23549,3.4,0.038,3.8,10,0.13,3.39,COVID19FullyVaccPersons,2021-12-16_07-53-19,detailed
202126,AG,med_prof,556,indication,694072,24105,3.5,0.021,2.1,9.2,0.08,3.47,COVID19FullyVaccPersons,2021-12-16_07-53-19,detailed
202127,AG,med_prof,520,indication,694072,24625,3.5,0.017,1.7000000000000002,8.4,0.07,3.55,COVID19FullyVaccPersons,2021-12-16_07-53-19,detailed
202128,AG,med_prof,316,indication,694072,24941,3.6,0.013,1.3,7.9,0.05,3.59,COVID19FullyVaccPersons,2021-12-16_07-53-19,detailed
202129,AG,med_prof,232,indication,694072,25173,3.6,0.016,1.6,7.6,0.03,3.63,COVID19FullyVaccPersons,2021-12-16_07-53-19,detailed
202130,AG,med_prof,231,indication,694072,25404,3.7,0.024,2.4,7.3999999999999995,0.03,3.66,COVID19FullyVaccPersons,2021-12-16_07-53-19,detailed
202131,AG,med_prof,151,indication,694072,25555,3.7,0.021,2.1,7.3,0.02,3.68,COVID19FullyVaccPersons,2021-12-16_07-53-19,detailed
202132,AG,med_prof,135,indication,694072,25690,3.7,0.021,2.1,7.199999999999999,0.02,3.7,COVID19FullyVaccPersons,2021-12-16_07-53-19,detailed
202133,AG,med_prof,140,indication,694072,25830,3.7,0.026,2.6,7.199999999999999,0.02,3.72,COVID19FullyVaccPersons,2021-12-16_07-53-19,detailed
202134,AG,med_prof,177,indication,694072,26007,3.7,0.029,2.9000000000000004,7.1,0.03,3.75,COVID19FullyVaccPersons,2021-12-16_07-53-19,detailed
202135,AG,med_prof,143,indication,694072,26150,3.8,0.026,2.6,7.000000000000001,0.02,3.77,COVID19FullyVaccPersons,2021-12-16_07-53-19,detailed
